ipa,xsampa,example_word,example_ipa,example_xsampa
p,p,popular,ˈpɑːpjəlɚ,"""pA:pj@l@`"
b,b,bubble,ˈbʌbəl,"""bVb@l"
t,t,tinker,ˈtɪŋkɚ,"""tINk@`"
d,d,dog,ˈdɑːg,"""dA:g"
k,k,crown,ˈkɹaʊn,"""kr\aUn"
ɡ,g,gravely,ˈgɹeɪˌvliː,"""gr\eI%vli:"
m,m,mapping,ˈmæpəŋ,"""m{p@N"
n,n,nine,ˈnaɪn,"""naIn"
ŋ,N,bank,ˈbæŋk,"""b{Nk"
f,f,frog,ˈfɹɑːg,"""fr\A:g"
v,v,valve,ˈvælv,"""v{lv"
s,s,massage,məˈsɑːʒ,"m@""sA:Z"
z,z,zoom,ˈzuːm,"""zu:m"
θ,T,thigh,ˈθaɪ,"""TaI"
ð,D,mother,ˈmʌðɚ,"""mVD@`"
ʃ,S,shopping,ˈʃɑːpəŋ,"""SA:p@N"
ʒ,Z,leisure,ˈliːʒɚ,"""li:Z@"
h,h,mahogany,məˈhɑːgəˌniː,"m@""hA:g@%ni:"
l,l,lately,ˈleɪtˌliː,"""leIt%li:"
ɹ,r\,roaring,ˈɹɔːɹəŋ,"""r\O:r\@N"
ʧ,tS,changed,ˈʧeɪnʤd,"""tSeIndZd"
ʤ,dZ,magenta,məˈʤɛntə,"m@""dZEnt@"
j,j,younger,ˈjʌŋgɚ,"""jVNg@`"
w,w,whirlwind,ˈwɚlˌwɪnd,"""w@`l%wInd"
æ,{,cat,ˈkæt,"""k{t"
ɑː,A:,cot,ˈkɑːt,"""kA:t"
ə,@,again,əˈgɛn,"@""gEn"
ɚ,@`,bird,ˈbɚd,"""b@`d"
ɛ,E,bed,ˈbɛd,"""bEd"
ɪ,I,kit,ˈkɪt,"""kIt"
iː,i:,unique,ˌjuːˈniːk,"%ju:""ni:k"
ɔː,O:,more,ˈmɔːɹ,"""mO:r\"
ʊ,U,could,ˈkʊd,"""kUd"
uː,u:,school,ˈskuːl,"""sku:l"
ʌ,V,pulse,ˈpʌls,"""pVls"
aɪ,aI,price,ˈpɹaɪs,"""pr\aIs"
aʊ,aU,flower,ˈflaʊɚ,"""flaU@`"
eɪ,eI,shade,ˈʃeɪd,"""SeId"
ɔɪ,OI,choice,ˈʧɔɪs,"""tSOIs"
oʊ,oU,boat,ˈboʊt,"""boUt"
