county_name,county_fips,num_precincts,registered_voters,active_voters
Alcona,001,12,10626,9134
Alger,003,9,7703,6516
Allegan,005,45,100588,88822
Alpena,007,17,25281,21641
Antrim,009,16,23305,20449
Arenac,011,15,13327,11617
Baraga,013,6,6915,5613
Barry,015,24,52884,47216
Bay,017,40,87550,77256
Benzie,019,13,17172,15337
Berrien,021,58,136153,110528
Branch,023,21,35305,28798
Calhoun,025,56,112120,94729
Cass,027,21,45721,36898
Charlevoix,029,20,24294,21362
Cheboygan,031,22,23811,20855
Chippewa,033,19,28273,24383
Clare,035,19,27114,23501
Clinton,037,33,64974,58040
Crawford,039,9,12756,11031
Delta,041,22,33021,28214
Dickinson,043,15,23734,19257
Eaton,045,44,90467,79864
Emmet,047,22,31219,27554
Genesee,049,156,355419,296726
Gladwin,051,17,22783,19626
Gogebic,053,10,13928,10613
Grand Traverse,055,39,83683,74180
Gratiot,057,21,29734,25937
Hillsdale,059,26,38257,31773
Houghton,061,29,27130,23307
Huron,063,31,26701,23161
Ingham,065,103,215483,180367
Ionia,067,27,49506,43668
Iosco,069,18,23682,20206
Iron,071,12,10986,9204
Isabella,073,23,49310,40199
Jackson,075,59,127967,110844
Kalamazoo,077,105,214305,181477
Kalkaska,079,13,17347,14829
Kent,081,240,522558,460120
Keweenaw,083,5,2131,1901
Lake,085,15,11121,9277
Lapeer,087,33,75132,67000
Leelanau,089,13,22031,19755
Lenawee,091,41,81429,68971
Livingston,093,73,167869,152016
Luce,095,4,4719,4031
Mackinac,097,14,10535,9127
Macomb,099,308,727799,641514
Manistee,101,16,22205,19292
Marquette,103,29,55970,46965
Mason,105,24,25662,22462
Mecosta,107,20,32746,28175
Menominee,109,19,21248,17039
Midland,111,34,71867,61152
Missaukee,113,17,12920,11549
Monroe,115,63,136818,114223
Montcalm,117,27,51925,45237
Montmorency,119,9,9296,8049
Muskegon,121,53,147769,126397
Newaygo,123,29,42832,37330
Oakland,125,497,1061038,918247
Oceana,127,17,22642,19466
Ogemaw,129,17,18920,16591
Ontonagon,131,11,5783,4685
Osceola,133,18,19652,16943
Oscoda,135,7,7829,6740
Otsego,137,13,24048,20407
Ottawa,139,101,235070,211430
Presque Isle,141,16,12256,10805
Roscommon,143,13,23932,20353
Saginaw,145,76,159983,134525
St. Clair,147,63,139746,121270
St. Joseph,149,23,50068,39777
Sanilac,151,30,32972,29049
Schoolcraft,153,9,7494,6407
Shiawassee,155,31,58263,51048
Tuscola,157,26,43856,38160
Van Buren,159,32,64274,53837
Washtenaw,161,120,327129,251865
Wayne,163,847,1455399,1201989
Wexford,165,20,29277,25462
TOTAL,,4340,8396747,7165370
